var.nms,ks.pvals,a.ks.pvals,cor.pvals,a.cor.pvals,delta.median,obs.cor,r.ks,r.cor,ave.r
mean.curvature..mean.1027,6.3339204499524e-05,0.00253356817998096,6.54393747618094e-05,0.0129032428555652,0.12742883426,-0.24498802823726,90,166,128
mean.curvature..75..1027,0.000265405694043319,0.00699320660381467,1.93350537302212e-05,0.00570151436179377,0.1120005,-0.26357997270279,148,111,129.5
FreeSurfer.thickness..75..2025,0.000422021476933265,0.00857879723602047,8.64834036329706e-06,0.0032537287057353,-0.0501078367199996,0.271974866528926,175,87,131
FreeSurfer.thickness..mean.2015,5.05192242783448e-06,0.000437050033291727,0.000172711900649669,0.0253504234770356,-0.0720103431000001,0.230889133954387,42.5,223,132.75
FreeSurfer.thickness..mean.1031,0.000422021476933265,0.00857879723602047,1.07865421706524e-05,0.00383762236541536,-0.0833877485500003,0.269167591170866,175,91.5,133.25
FreeSurfer.thickness..median.2006,0.000343208757269231,0.0078810899817379,1.86392304967925e-05,0.00554629687128103,-0.22527897358,0.263564807961628,161.5,110,135.75
FreeSurfer.thickness..25..2007,0.000854090404957097,0.0133496483463882,9.69962035606275e-07,0.00073833609255355,-0.0926654338799999,0.298235266599915,230,43,136.5
FreeSurfer.curvature..mean.1031,0.000293263502740615,0.00699320660381467,3.1039945057329e-05,0.00781529561057157,0.00346315691,-0.255282408095298,148,130,139
FreeSurfer.thickness..median.1003,4.49818026384552e-05,0.00204063787579333,0.000121879383003814,0.0203536355483776,-0.0934923887199997,0.237853247619413,82,196,139
mean.curvature..25..2009,0.00120114820672468,0.0164274681213816,5.81759040612251e-08,0.000100220683016893,0.11289,-0.328597598756815,261,17.5,139.25
FreeSurfer.thickness..mean.2028,8.03071433908009e-07,9.05280525496301e-05,0.000227656820659407,0.0300467015853525,-0.0893736359600004,0.226714950193435,33,247,140
mean.curvature..25..1027,4.31812428166589e-05,0.0019831385589873,0.000160935614719137,0.024500870871747,0.1288,-0.233716518872548,81,215,148
Volume.1009,0.00120114820672468,0.0164274681213816,6.95223450508855e-07,0.000615021795600674,-503.107899999999,0.302011561540357,261,36,148.5
FreeSurfer.thickness..median.2015,6.3339204499524e-05,0.00253356817998096,0.000142892910370329,0.0224861531877806,-0.0745537281000002,0.233710153375515,90,208,149
FreeSurfer.thickness..mean.1003,6.3339204499524e-05,0.00253356817998096,0.000151382742486484,0.0235952667854815,-0.08283854547,0.232854727070381,90,210,150
FreeSurfer.thickness..mean.1027,0.00060267497914035,0.010427678708847,1.36803442081336e-05,0.00443742235760147,-0.0694987763399997,0.266112368922868,204,100,152
FreeSurfer.thickness..25..1027,0.000241383588312605,0.00655343618694247,7.23497082811125e-05,0.0141803885643642,-0.0783352851900001,0.24542362805784,137.5,167,152.25
FreeSurfer.thickness..75..1028,0.000448842806531013,0.00907443065377918,2.84464951957436e-05,0.00733150040899183,-0.0634372234400002,0.257426492428041,184,127,155.5
FreeSurfer.thickness..75..1007,0.00167633736105099,0.0211388982478295,3.48926765570966e-07,0.000380698221667113,-0.0749583244300003,0.309663560376688,290,30,160
FreeSurfer.curvature..mean.1025,0.00060267497914035,0.010427678708847,2.34617782648846e-05,0.0063995214353749,0.0025880569347,-0.259035904833275,204,120,162
FreeSurfer.thickness..median.2009,0.000854090404957097,0.0133496483463882,1.13799381899053e-05,0.00392088510350282,-0.0805730819699999,0.268482387981882,230,94,162
FreeSurfer.thickness..mean.2025,0.000422021476933265,0.00857879723602047,4.80786597495179e-05,0.0104912904785787,-0.0533184859499998,0.249296428926433,175,150,162.5
FreeSurfer.thickness..mean.2009,0.00167633736105099,0.0211388982478295,6.60524570854237e-07,0.000615021795600674,-0.0683415418200002,0.30258742074137,290,36,163
mean.curvature..25..1030,0.00205169923604709,0.0256118159667623,4.41470614739832e-07,0.000437880574829415,0.114055,-0.307645439029372,298,32,165
FreeSurfer.thickness..median.1006,8.60204910013707e-06,0.000695643970706737,0.000377977852632827,0.0432581695372134,-0.218687891965,0.220525198198839,46,286,166
FreeSurfer.thickness..75..2008,0.000422021476933265,0.00857879723602047,5.5513296800129e-05,0.0115002624336226,-0.0687322616500001,0.247296621732639,175,157.5,166.25
Volume.1025,0.00167633736105099,0.0211388982478295,3.40207445226589e-06,0.00182549982969626,-317.8356,0.28349986350386,290,61,175.5
FreeSurfer.thickness..median.2008,6.3339204499524e-05,0.00253356817998096,0.000308448351163729,0.0375316788200289,-0.0843648910500003,0.222035149652277,90,268,179
mean.curvature..mean.1009,0.000854090404957097,0.0133496483463882,3.18655850847674e-05,0.00796193118145641,0.0857325686999997,-0.254927404152293,230,131,180.5
FreeSurfer.curvature..75..1031,0.00267936019056536,0.0302955012428667,4.327480620121e-07,0.000437880574829415,0.0032640425489,-0.30786620977314,329,32,180.5
FreeSurfer.thickness..mean.2031,0.00020223371267647,0.00557266230486272,0.000186603249653377,0.0263268582963072,-0.06282967295,0.229727700586997,131.5,232,181.75
mean.curvature..75..1015,0.00103005207018669,0.0155133348222449,2.15649151641404e-05,0.00601264947202898,0.0945849999999999,-0.260644322161695,247,117.5,182.25
mean.curvature..mean.2015,0.00060267497914035,0.010427678708847,6.1346901808979e-05,0.0123368946262805,0.08671069161,-0.245896986426444,204,162.5,183.25
FreeSurfer.thickness..mean.1020,0.00167633736105099,0.0211388982478295,5.98465845866302e-06,0.00254719930677965,-0.0615411359200002,0.276585002507182,290,78,184
FreeSurfer.thickness..median.2025,0.000138395243832634,0.00432630510132268,0.000255523880525195,0.0326413007773445,-0.0628550052599999,0.224946991704485,113,256,184.5
mean.curvature..mean.1031,0.00232165842420506,0.02690520043004,2.63068715509044e-06,0.00148459853904218,0.11361616531,-0.286587653959693,311.5,58,184.75
mean.curvature..25..1015,0.00367315596972972,0.0373337164136464,2.36791641390405e-09,1.04385963393635e-05,0.10894,-0.360193204869255,366,7,186.5
FreeSurfer.thickness..median.2007,0.00319085666785501,0.0327900187967421,2.45539127426785e-07,0.000309111511192741,-0.0510413646699996,0.31348234494912,350.5,26,188.25
mean.curvature..75..1031,0.00277938961767055,0.0309560759812408,1.43620631478029e-06,0.000959375381885608,0.107654,-0.294260958496362,333,49,191
mean.curvature..25..1007,0.00232165842420506,0.02690520043004,5.37580880089246e-06,0.00241039807579085,0.0871475000000004,-0.277912931006526,311.5,73,192.25
Volume.1008,0.00319085666785501,0.0327900187967421,7.98147104860467e-07,0.000669863252408644,-305.783099999999,0.300452528983352,350.5,38.5,194.5
Volume.1030,0.00319085666785501,0.0327900187967421,9.08832220839886e-07,0.000719125505262896,-413.081699999999,0.298977642506367,350.5,41.5,196
FreeSurfer.thickness..25..1025,6.3339204499524e-05,0.00253356817998096,0.000524638702435876,0.0563025809920699,-0.0493327379299999,0.213608635451718,90,305,197.5
FreeSurfer.thickness..median.2031,0.000512196429946266,0.0100282669442111,0.000138093034364233,0.0218358069115716,-0.0740990638750003,0.234658407714066,189,207,198
FreeSurfer.thickness..75..1003,0.00030267786386351,0.00708151983378777,0.00020561486163358,0.0283970988974984,-0.0556826591499999,0.230008432466974,159,237,198
FreeSurfer.thickness..75..2028,0.00082898014142363,0.0133496483463882,7.78328824938753e-05,0.0148982350655778,-0.0751241445500002,0.243448330239424,230,169.5,199.75
FreeSurfer.thickness..75..1031,0.00206969438609539,0.0256962352483396,1.50893746294695e-05,0.00470380988163427,-0.0673504471750004,0.265338369493177,299.5,105,202.25
FreeSurfer.thickness..25..2035,5.31551384234108e-05,0.00232631899923633,0.000656486984324662,0.0657122269687735,-0.0898197889299999,0.210352859343253,85,326,205.5
FreeSurfer.thickness..25..1020,0.000273119586327031,0.00699320660381467,0.000308338398712848,0.0375316788200289,-0.0862584114049998,0.223741360357974,148,268,208
FreeSurfer.thickness..mean.1006,4.23600470412788e-05,0.00196974218741947,0.000705040638842964,0.0675027687869997,-0.25650458745,0.208776807933647,76.5,340.5,208.5
FreeSurfer.thickness..75..1008,0.00120114820672468,0.0164274681213816,5.45298184439491e-05,0.0114413500073093,-0.0588438510900002,0.247546140572821,261,156,208.5
FreeSurfer.curvature..mean.1015,0.00319085666785501,0.0327900187967421,4.29237746255284e-06,0.00208219521241968,0.00326278140700001,-0.280676444195406,350.5,67.5,209
FreeSurfer.thickness..median.1031,0.00051924823297711,0.0100741941479791,0.000181932187225348,0.0257789591885346,-0.0993570089349998,0.230544942494305,191.5,228,209.75
FreeSurfer.thickness..mean.1008,0.00060267497914035,0.010427678708847,0.000165167110879462,0.024913322871231,-0.0546880267299996,0.23155708225201,204,217,210.5
FreeSurfer.thickness..mean.2006,0.00120114820672468,0.0164274681213816,6.02752465909181e-05,0.0123306744343762,-0.2057167841,0.246144433661024,261,160,210.5
Volume.1006,0.000293263502740615,0.00699320660381467,0.000336908920169662,0.0402466526039185,-174.7819,0.220656834324975,148,274,211
mean.curvature..25..1009,0.00385707021911108,0.0385707021911108,2.15718818044726e-06,0.00133223236646984,0.0856450000000004,-0.289484197824162,372,53,212.5
FreeSurfer.thickness..mean.2008,0.000138395243832634,0.00432630510132268,0.000571031301046046,0.0593358514968336,-0.0597755930399999,0.212234210210197,113,315,214
FreeSurfer.thickness..75..2027,0.000584954778910629,0.010427678708847,0.000181041808211601,0.0257789591885346,-0.07941797376,0.231942185823191,204,228,216
FreeSurfer.thickness..75..1027,0.000555261703242937,0.010427678708847,0.000200050001263809,0.0277456161463412,-0.07214784622,0.230426670478387,204,236,220
mean.curvature..mean.1020,0.00060267497914035,0.010427678708847,0.000213913819093069,0.0288137899559742,0.10436627748,-0.227662587718861,204,242,223
FreeSurfer.curvature..median.1015,0.00148512002687173,0.0198544514706622,7.78270996705993e-05,0.0148982350655778,0.00353795662549999,-0.242988701987978,278.5,169.5,224
FreeSurfer.thickness..mean.2007,0.00589035476205779,0.0501421503772425,1.6027264850854e-07,0.00020983949053918,-0.0628429322900002,0.318047285568981,423.5,25,224.25
mean.curvature..mean.1024,0.00232165842420506,0.02690520043004,3.83139162926008e-05,0.00908751786840348,0.0872297884799997,-0.252420614462168,311.5,138,224.75
mean.curvature..75..2015,0.00020223371267647,0.00557266230486272,0.000596157915329532,0.0609788394172449,0.12645,-0.211532417706569,131.5,320,225.75
FreeSurfer.thickness..25..2028,1.21788929818845e-06,0.000128575528944112,0.00147471015474118,0.115643396276548,-0.116148531435,0.196967804303465,35.5,417,226.25
FreeSurfer.thickness..median.1008,0.00060267497914035,0.010427678708847,0.00025313341330763,0.0326413007773445,-0.05817914009,0.225091409629655,204,256,230
FreeSurfer.thickness..25..1016,0.000519958407637633,0.0100741941479791,0.000349503902637256,0.0410030010572359,-0.15200632811,0.220499163165169,191.5,279,235.25
mean.curvature..25..1018,0.00233956457948215,0.0270285100486757,5.51726864899069e-05,0.0115002624336226,0.106015,-0.249265169502691,322,157.5,239.75
FreeSurfer.thickness..25..2015,0.00120114820672468,0.0164274681213816,0.000169380623481763,0.0250864536528087,-0.0740411281599997,0.231180621625292,261,220.5,240.75
mean.curvature..25..1031,0.000665551263376862,0.0113571133016602,0.00030797464069322,0.0375316788200289,0.11066875,-0.222480638768282,218,268,243
FreeSurfer.convexity..sulc...mean.1030,0.000854090404957097,0.0133496483463882,0.000255010083511182,0.0326413007773445,0.013595430312,-0.224977925702979,230,256,243
FreeSurfer.thickness..75..2030,0.00197126848826468,0.0247740499200831,0.000115289941231859,0.0196235240094319,-0.0796400308599998,0.237312192071205,296,192,244
FreeSurfer.curvature..median.1031,0.00273562722460841,0.0307448135212788,5.94596636774175e-05,0.0122403304401014,0.0042056031525,-0.246800350933573,331,159,245
FreeSurfer.thickness..75..1009,0.00387085454282243,0.0386047691670226,2.22369121488111e-05,0.00611639235853603,-0.0697927475000002,0.260236756386448,373,119,246
FreeSurfer.curvature..median.2027,0.00157274533862628,0.0206007488017245,0.000154095350013856,0.0237914817390194,0.00298466533379999,-0.234367730508133,284,211.5,247.75
FreeSurfer.thickness..median.2013,0.00232165842420506,0.02690520043004,0.0001129064640796,0.0194506009484118,-0.0433115959200001,0.237168855582791,311.5,190,250.75
Volume.1012,0.00589035476205779,0.0501421503772425,6.21661457641745e-06,0.00254719930677965,-213.2918,0.276112692298406,423.5,78,250.75
FreeSurfer.thickness..75..1011,0.00120114820672468,0.0164274681213816,0.000221776951105065,0.0296290783531886,-0.05495882034,0.227113671841416,261,245,253
FreeSurfer.curvature..mean.1027,1.21015321435936e-05,0.00084939055800317,0.00200771220935958,0.144113423597459,0.00374304585140001,-0.190734399454482,51,456,253.5
mean.curvature..75..1028,0.00119644183595624,0.0164274681213816,0.000242034234641614,0.0316887135533486,0.097298,-0.226638004516336,261,250,255.5
FreeSurfer.curvature..mean.2009,0.00319085666785501,0.0327900187967421,6.45932147020023e-05,0.0128135885105109,0.002850497405,-0.245171490113993,350.5,165,257.75
FreeSurfer.thickness..75..1010,0.00712222817835417,0.0590082156424889,4.32576117246941e-06,0.00208219521241968,-0.0374258756649999,0.281106045867318,449,67.5,258.25
FreeSurfer.thickness..mean.1010,0.00791164201787375,0.0620913677352117,2.30654019584661e-06,0.00134979110834592,-0.0372286213700002,0.288152636226085,463,55.5,259.25
mean.curvature..median.2009,0.00319085666785501,0.0327900187967421,8.72657691637038e-05,0.0165107056876797,0.11853,-0.240893994966015,350.5,173,261.75
FreeSurfer.thickness..25..1003,1.95785810885862e-05,0.00117471486531517,0.00220444365913451,0.155888403277991,-0.132399678235,0.190502737212499,62,463,262.5
mean.curvature..median.2027,0.00151328865587319,0.0199950150166682,0.000230813276078908,0.0303409556949991,0.09572,-0.228237839146411,281.5,249,265.25
FreeSurfer.thickness..median.2027,0.000283464281333523,0.00699320660381467,0.00107065021257915,0.0914990640650906,-0.0824729204199999,0.203309909130595,148,383,265.5
FreeSurfer.curvature..mean.1030,0.00319085666785501,0.0327900187967421,0.000101105516042514,0.0182837002815165,0.0028345393978,-0.238772494415811,350.5,181,265.75
FreeSurfer.curvature..MAD.1035,0.000161075367860142,0.00499333640366439,0.00140031065224691,0.110979345442,-0.0047730850056,0.197498477626139,120,413,266.5
FreeSurfer.thickness..skew.2031,0.000422021476933265,0.00857879723602047,0.000865068499703812,0.0787894016588602,0.060677249409,-0.205368549446362,175,359.5,267.25
FreeSurfer.thickness..75..2015,0.000854090404957097,0.0133496483463882,0.000539291351090252,0.0573113392241528,-0.0724711418099999,0.213162768243541,230,308,269
FreeSurfer.curvature..median.1027,3.04663242642889e-05,0.00166668715092874,0.00243891626884345,0.167357943183934,0.004267685115,-0.188645689368414,68,477,272.5
mean.curvature..median.1028,0.000128523597503372,0.00432630510132268,0.00169128136001763,0.126207886774231,0.12246,-0.194542159857871,113,437.5,275.25
FreeSurfer.thickness..25..2006,0.000480357423320199,0.00955577334091519,0.000889954310447076,0.079372391302052,-0.18409752846,0.20606990314192,187,366.5,276.75
mean.curvature..75..1018,0.00216505881527229,0.0267575375176509,0.000254701403953565,0.0326413007773445,0.12821,-0.226718614253645,301,256,278.5
FreeSurfer.thickness..25..2031,2.29333229373463e-05,0.00131249171272197,0.00286445108737851,0.188648275776487,-0.0977005362550001,0.184585683086018,64,497,280.5
FreeSurfer.thickness..kurtosis.2022,0.000854090404957097,0.0133496483463882,0.000679120453856689,0.0662380822882463,0.2831528739266,-0.209395140925855,230,333,281.5
FreeSurfer.curvature..25..1030,0.000718496234567767,0.0121491181481459,0.000727676928206794,0.0692385526560523,0.00569441914600002,-0.208650358508776,220,344,282
mean.curvature..75..1003,0.000377385454567003,0.00850832661205607,0.00129138492234988,0.105409355264865,0.15032175,-0.200059959096881,165,401,283
FreeSurfer.curvature..75..1027,4.14495312598406e-05,0.00196974218741947,0.00282414717533421,0.186745413662015,0.0040694642812,-0.185920967658708,76.5,495,285.75
FreeSurfer.thickness..MAD.1011,0.00120114820672468,0.0164274681213816,0.000551542181284939,0.0578618022207631,-0.012125849724,0.212798517131126,261,312,286.5
FreeSurfer.thickness..25..1031,3.43451719149179e-05,0.00179949351441542,0.00297864100778193,0.192880386530849,-0.101709961895,0.183856308995957,70,505.5,287.75
FreeSurfer.thickness..mean.2016,0.0105454193940921,0.0763209341362311,6.22565566666535e-06,0.00254719930677965,-0.09549307779,0.276094624188253,499.5,78,288.75
FreeSurfer.thickness..75..2007,0.0139486799830694,0.0933257006061476,7.78966734624894e-07,0.000669863252408644,-0.0610768794999998,0.300727874635132,539.5,38.5,289
FreeSurfer.thickness..75..2006,0.003696568606668,0.0373976875673365,0.000167278172129372,0.025001322229287,-0.13099336624,0.232689611398302,367.5,219,293.25
FreeSurfer.thickness..skew.2012,0.00120114820672468,0.0164274681213816,0.000654571913343566,0.0657122269687735,0.125536079951,-0.210001201690413,261,326,293.5
FreeSurfer.thickness..median.1010,0.00720308588076524,0.0594134799921212,3.92550341783877e-05,0.00924375396674813,-0.0746331214900002,0.252563515973327,451,139,295
FreeSurfer.thickness..25..2016,0.0010408907950733,0.0156133619260995,0.000787894316901516,0.0736830749689288,-0.129305303095,0.207326398293061,248,350,299
mean.curvature..75..2031,0.00101266369592212,0.0153335294927069,0.000819072302471478,0.0758276507270291,0.127448,-0.206677199540525,245.5,353.5,299.5
FreeSurfer.thickness..25..1013,0.00020223371267647,0.00557266230486272,0.00229142320236761,0.160260787102537,-0.0310599804,0.188340546667374,131.5,468,299.75
FreeSurfer.curvature..75..1015,0.00262416466690296,0.0297618675636555,0.000331267461934429,0.0397176872206762,0.0034354330418835,-0.221340717406494,328,273,300.5
FreeSurfer.thickness..mean.2027,0.00120114820672468,0.0164274681213816,0.000701490747981559,0.0675027687869997,-0.0806145369999998,0.208860237837907,261,340.5,300.75
FreeSurfer.curvature..25..1025,0.00589035476205779,0.0501421503772425,9.99765187672105e-05,0.0181799767451989,0.00405237078700002,-0.23893500381468,423.5,180,301.75
FreeSurfer.curvature..mean.1024,0.00060267497914035,0.010427678708847,0.00135552043706981,0.108215639738057,0.00273958023739999,-0.197689010258997,204,410,307
FreeSurfer.thickness..mean.1035,0.0139486799830694,0.0933257006061476,5.63120416207398e-06,0.00248657339545802,-0.0328394972299999,0.277339308656084,539.5,74.5,307
mean.curvature..mean.1007,0.00435199451844814,0.0401722570933675,0.000179433293925001,0.0257789591885346,0.0784852038100001,-0.230316675807841,388.5,228,308.25
FreeSurfer.thickness..mean.1011,0.00060267497914035,0.010427678708847,0.00149838530900721,0.116772891456329,-0.04789648064,0.195936910284003,204,420,312
mean.curvature..median.2028,0.000408504893067541,0.00857879723602047,0.00194297158059022,0.140700561839477,0.092355,-0.192057148945502,175,452,313.5
Volume.1003,0.0183094093943313,0.11295357039289,9.22754484349888e-07,0.000719125505262896,-231.8439,0.298804452477284,587,41.5,314.25
FreeSurfer.thickness..25..1012,0.00477374076229176,0.0438476929277169,0.00017577939485717,0.0256854846587104,-0.0623267293,0.232388060411194,405,224,314.5
FreeSurfer.thickness..75..2009,0.0183094093943313,0.11295357039289,1.14533756077113e-06,0.000833084027208637,-0.0485496521000002,0.296330441090083,587,45,316
FreeSurfer.convexity..sulc...skew.1030,0.00120114820672468,0.0164274681213816,0.00100310780523603,0.0868041544124083,0.0493235538,-0.202867614158899,261,377.5,319.25
FreeSurfer.thickness..mean.1018,0.00060267497914035,0.010427678708847,0.00167146648658373,0.125769760661886,-0.06586007724,0.194008585193267,204,435,319.5
FreeSurfer.thickness..75..2011,0.000138395243832634,0.00432630510132268,0.00328333069660786,0.204313329433051,-0.0710978508000002,0.181679635058315,113,526,319.5
FreeSurfer.thickness..mean.2010,0.0139486799830694,0.0933257006061476,1.32865419257048e-05,0.00443742235760147,-0.05777299387,0.266489867737904,539.5,100,319.75
Volume.1007,0.0238499468732436,0.134630959587961,2.00858658488271e-10,3.98819240397945e-06,-414.8162,0.381306255610259,639.5,1.5,320.5
FreeSurfer.thickness..25..1006,0.000280242563393651,0.00699320660381467,0.00284654930414505,0.187847254569188,-0.26152822375,0.18577312849801,148,496,322
FreeSurfer.curvature..mean.2025,0.00435199451844814,0.0401722570933675,0.000258285129770913,0.0326413007773445,0.0015801554156,-0.224781732821774,388.5,256,322.25
FreeSurfer.thickness..mean.2013,0.00232165842420506,0.02690520043004,0.000673823351838498,0.0662380822882463,-0.02828330844,0.209524183852692,311.5,333,322.25
Volume.1031,0.00589035476205779,0.0501421503772425,0.000171661591174753,0.0253097571154261,-297.864100000001,0.230980464648252,423.5,222,322.75
travel.depth..SD.1008,0.0238499468732436,0.134630959587961,2.15666886985892e-09,1.04385963393635e-05,-0.06857118904,0.36039526035918,639.5,7,323.25
geodesic.depth..mean.1008,0.0183094093943313,0.11295357039289,3.10803509162314e-06,0.00169551829926796,-0.0841312260700002,0.284589532003844,587,60,323.5
FreeSurfer.thickness..median.1012,0.00357668374765441,0.0364527768254093,0.000365156357449704,0.0420850981429453,-0.0599149465549997,0.221073473637265,365,283.5,324.25
mean.curvature..median.2015,0.000854090404957097,0.0133496483463882,0.00153226221720772,0.118847064712066,0.0921399999999997,-0.195543971579514,230,422,326
FreeSurfer.thickness..75..2018,0.00148908386029967,0.0198544514706622,0.00100489617973836,0.0868041544124083,-0.0439229011550002,0.204004245783622,278.5,377.5,328
FreeSurfer.curvature..mean.2008,0.00232165842420506,0.02690520043004,0.00074899460033946,0.0708549842989845,0.00304928635020001,-0.207774739187221,311.5,346,328.75
